Monto del credito:,"$1,300,000.00",,n,Pago Interes,Pago Capital,Pago cuota,Saldo,Pago,Rem,,,,Month,OnTime
Tasa de interes,23%,,1,"$11,333.33","$128,688.60","$152,021.94","$671,311.40","$128,549.96","-$23,471.98",,,Oct-25,Oct-25,TRUE
Tasa mensual:,1.92%,,2,"$9,510.24","$130,511.69","$152,021.94","$540,799.71","$165,910.00","$13,888.06",,,Nov-25,Nov-25,TRUE
Numero de pagos (mensuales):,3,,3,"$17,346.67","$253,784.60","$286,743.26","$787,015.40","$278,800.00","-$7,943.26",,,Dec-25,Dec-25,TRUE
Pago (Fijo):,"$189,728.13",,4,"$13,116.92","$258,014.34","$286,743.26","$529,001.07","$286,743.00",-$0.26,Transferencia,,Jan-26,Jan-26,TRUE
Ajuste Cuota:,0,,5,"$8,816.68","$262,314.58","$286,743.26","$266,686.49",$0.00,,,,,,FALSE
Payed,"$860,002.96",,6,"$4,444.77","$266,686.49","$286,743.26",$0.00,$0.00,,,,,,FALSE
Remaining,"$529,001.07",,,,,,,,,,,,,
Start Date,Aug-25,,,,,,,,,,,,,
End Date,Oct-25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,